aggregate_industry,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
Accommodation And Food Services,167312,180042,187375,183563,186083,176854,185146,195104,200479,202104,173375,177437,184313,189104,191420,194215,197199,199433,201540,203566,205514,207623,209426,211458
Agriculture And Fishing,29854,24854,24395,26792,25645,25750,23583,25062,26688,25458,29584,22041,24229,26565,26584,26607,26577,26571,26610,26661,26710,26726,26797,26843
"Business, Building And Other Support Services",90750,95667,98562,94250,87208,92041,99813,104083,103291,115313,96875,98646,89250,101028,102194,102280,102675,102960,103268,104234,105336,105849,106470,107144
Construction,197458,202479,202688,212605,208917,211834,220000,239812,246542,250084,227375,227083,235916,230895,227073,228522,232511,234852,236031,238677,240130,242372,244398,245635
Educational Services,156563,156813,167376,165396,167271,170250,172333,172500,168646,177062,173209,185708,201418,194049,196434,199237,200471,202888,205248,207754,210454,213153,215812,218177
"Finance, Insurance And Real Estate",136563,137230,143417,148729,150125,140916,150521,167000,166125,168354,170125,168876,161896,164992,165912,166823,167948,169353,170360,171738,173161,174743,176378,177742
"Forestry, Logging And Support Activities",15792,15396,16875,19104,20271,21458,18708,18708,17312,16083,15604,18292,17729,17410,17338,17051,16480,15696,15524,15460,15339,15152,15099,15174
Health Care And Social Assistance,261667,254666,264104,261499,268500,286167,297791,309979,327729,328126,321459,351687,368853,377541,382747,389604,395701,402299,409889,417672,425342,432810,440433,445992
"Information, Culture And Recreation",107415,108000,111728,110667,114355,122709,130166,137187,129855,132230,106334,127625,145208,145175,146823,148873,150192,151265,152904,154560,156203,157970,159684,161688
Manufacturing,164396,165458,173728,158791,167688,177167,177707,184188,181396,172647,167832,183500,184105,181302,182155,182413,182701,182595,183719,184812,186310,188151,189503,191120
Mining And Oil And Gas Extraction,21709,23167,25229,27250,30041,29813,30458,28625,25749,26417,23333,26354,25979,26869,27389,28544,29705,29971,29652,29304,29308,29891,30309,30243
"Professional, Scientific And Technical Services",167875,179417,176709,183271,185250,196022,202249,205916,218521,238479,240000,261437,274959,268636,273903,281764,289361,297399,306229,315509,322651,329486,336552,346776
Public Administration,105293,107062,102729,106625,108478,107312,111917,105375,109000,121750,120980,137563,136791,138188,139608,141060,142220,143616,145258,146917,148598,150085,151703,153341
"Repair, Personal And Non-Profit Services",98625,97979,110250,104020,101480,107000,108166,114667,121667,119229,99020,108792,101438,106158,107509,108665,109089,109663,110793,112336,113656,114535,115324,115813
Retail Trade,290313,275062,264125,291875,287625,277312,289168,307937,313062,327021,297605,313750,340188,331835,335381,339255,342263,346018,350314,354505,358889,363163,367491,371854
Transportation And Warehousing,113186,120437,128582,127544,141125,143874,141313,141105,144083,147146,134980,146104,142686,147147,150039,151990,153379,154609,156430,158332,160207,161583,162932,164288
Utilities,10833,11208,12521,13333,13979,14312,12646,11458,15000,13833,18396,17917,15042,16095,16193,16174,16256,16297,16377,16433,16493,16556,16610,16716
Wholesale Trade,83250,76750,81083,83167,83146,86083,94688,87604,87625,93750,91229,88167,94021,95078,96253,97464,98492,99672,101004,102338,103674,105009,106346,107682
Total,2218854,2231687,2291476,2318481,2347187,2386874,2466373,2556310,2602770,2675086,2507315,2660979,2744021,2758067,2784955,2820541,2853220,2885157,2921150,2960808,2997975,3034857,3071267,3107686
