lmo_ind_code,lmo_detailed_industry,aggregate_industry,stokes_industry
ind01,farms_and_support_activities,agriculture_and_fishing,agriculture
ind02,fishing_hunting_and_trapping,agriculture_and_fishing,other_other_primary
ind03,forestry_logging_and_support_activities,"forestry,_logging_and_support_activities",other_other_primary
ind04,oil_and_gas_extraction,mining_and_oil_and_gas_extraction,oil_gas
ind05,mining,mining_and_oil_and_gas_extraction,other_other_primary
ind06,support_activities_for_mining_and_oil_and_gas_extraction,mining_and_oil_and_gas_extraction,other_other_primary
ind07,utilities,utilities,utilities
ind08,heavy_and_civil_engineering_construction,construction,construction
ind09,specialty_trade_contractors,construction,construction
ind10,residential_building_construction,construction,construction
ind11,non_residential_building_construction,construction,construction
ind12,food_beverage_and_tobacco_manufacturing,manufacturing,manufacturing
ind13,wood_product_manufacturing,manufacturing,manufacturing
ind14,paper_manufacturing,manufacturing,manufacturing
ind15,primary_metal_manufacturing,manufacturing,manufacturing
ind16,fabricated_metal_product_manufacturing,manufacturing,manufacturing
ind17,machinery_manufacturing,manufacturing,manufacturing
ind18,ship_and_boat_building,manufacturing,manufacturing
ind19,transportation_equipment_manufacturing_excluding_shipbuilding,manufacturing,manufacturing
ind20,other_manufacturing,manufacturing,manufacturing
ind21,wholesale_trade,wholesale_trade,trade
ind22,motor_vehicle_and_parts_dealers,retail_trade,trade
ind23,health_and_personal_care_stores,retail_trade,trade
ind24,online_shopping,retail_trade,trade
ind25,other_retail_trade_excluding_cars_online_shopping_and_personal_care,retail_trade,trade
ind26,air_transportation_and_support_activities,transportation_and_warehousing,transportation_warehousing
ind27,rail_transportation_and_support_activities,transportation_and_warehousing,transportation_warehousing
ind28,water_transportation,transportation_and_warehousing,transportation_warehousing
ind29,ports_and_freight_transportation_arrangement,transportation_and_warehousing,transportation_warehousing
ind30,truck_transportation_and_support_activities,transportation_and_warehousing,transportation_warehousing
ind31,transit_sightseeing_and_pipeline_transportation,transportation_and_warehousing,transportation_warehousing
ind32,postal_service_couriers_and_messengers,transportation_and_warehousing,transportation_warehousing
ind33,warehousing_and_storage,transportation_and_warehousing,transportation_warehousing
ind34,finance,"finance,_insurance_and_real_estate",finance_insurance_real_estate
ind35,insurance_carriers_and_related_activities,"finance,_insurance_and_real_estate",finance_insurance_real_estate
ind36,real_estate_and_rental_and_leasing,"finance,_insurance_and_real_estate",finance_insurance_real_estate
ind37,architectural_engineering_and_related_services,"professional,_scientific_and_technical_services",professional_scientific_managerial
ind38,computer_systems_design_and_related_services,"professional,_scientific_and_technical_services",professional_scientific_managerial
ind39,management_scientific_and_technical_consulting_services,"professional,_scientific_and_technical_services",professional_scientific_managerial
ind40,legal_accounting_design_research_and_advertising_services,"professional,_scientific_and_technical_services",professional_scientific_managerial
ind41,travel_arrangement_services,"business,_building_and_other_support_services",professional_scientific_managerial
ind42,business_and_building_support_services_excluding_travel,"business,_building_and_other_support_services",professional_scientific_managerial
ind43,elementary_and_secondary_schools,educational_services,education_services
ind44,community_colleges,educational_services,education_services
ind45,universities,educational_services,education_services
ind46,private_and_trades_education,educational_services,education_services
ind47,ambulatory_health_care_services,health_care_and_social_assistance,health_social_services
ind48,hospitals,health_care_and_social_assistance,health_social_services
ind49,nursing_and_residential_care_facilities,health_care_and_social_assistance,health_social_services
ind50,social_assistance_excluding_child_care,health_care_and_social_assistance,health_social_services
ind51,child_day_care_services,health_care_and_social_assistance,health_social_services
ind52,publishing_industries,"information,_culture_and_recreation",other_services
ind53,motion_picture_and_sound_recording_industries,"information,_culture_and_recreation",other_services
ind54,telecommunications,"information,_culture_and_recreation",other_services
ind55,broadcasting_data_processing_and_information,"information,_culture_and_recreation",other_services
ind56,performing_arts_spectator_sports_and_related_industries,"information,_culture_and_recreation",other_services
ind57,entertainment_and_recreation,"information,_culture_and_recreation",other_services
ind58,accommodation_services,accommodation_and_food_services,accommodation_food_services
ind59,food_services_and_drinking_places,accommodation_and_food_services,accommodation_food_services
ind60,automotive_repair_and_maintenance,"repair,_personal_and_non-profit_services",other_services
ind61,personal_non_automotive_repair_and_non_profit_services,"repair,_personal_and_non-profit_services",other_services
ind62,federal_government_public_administration,public_administration,government_services
ind63,provincial_and_territorial_public_administration,public_administration,government_services
ind64,local_and_indigenous_public_administration,public_administration,government_services
